Cube, 1, 3000, 156
Snowflake, 1, 3157, 690
Wolf, 1, 3848, 600
Links, 1, 4449, 579
Witch, 1, 5029, 699
Unicorn 1, 1, 5729, 741
Butterfly, 1, 6471, 768
Spider, 1, 7240, 858
Triangles, 1, 8099, 123
Skull, 1, 8223, 1446
Tim, 1, 9670, 1623
Alien, 1, 11294, 366
Agent, 1, 11661, 1035
5 P Star, 1, 12697, 36
9 P Star, 1, 12734, 60
18 P Star, 1, 12795, 117
Reaper, 1, 12913, 420
Octopus, 1, 13334, 1050
Corner_1, 1, 14385, 213
Corner_2, 1, 14599, 117
Corner_3, 1, 14717, 309
Corner_4, 1, 15027, 138
Inst Robot, 1, 15166, 2427
EOL, 1, 17594, 1
